,Mobile,Ratings,Prices
0,"MOTOROLA g37 (PANTONE Nautical Blue, 64 GB)",4.3,"₹14,999"
1,"MOTOROLA g57 power 5G Snapdragon (Pantone Regatta, 128 GB)",4.4,"₹20,999"
2,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",4.3,"₹29,999"
3,"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)",4.3,"₹14,999"
4,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",4.3,"₹33,999"
5,"MOTOROLA g57 power 5G Snapdragon (Pantone Corsair, 128 GB)",4.4,"₹20,999"
6,"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",4.4,"₹27,999"
7,"MOTOROLA g37 (PANTONE Capri, 64 GB)",4.3,"₹14,999"
8,"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 256 GB)",4.3,"₹29,999"
9,"MOTOROLA g67 power 5G (Pantone CILANTRO, 256 GB)",4.3,"₹26,999"
10,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 128 GB)",4.4,"₹22,999"
11,"MOTOROLA g35 5G (Leaf Green, 128 GB)",4.2,"₹12,499"
12,"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 128 GB)",4.4,"₹22,999"
13,"MOTOROLA g35 5G (Guava Red, 128 GB)",4.2,"₹12,499"
14,"MOTOROLA g57 power 5G Snapdragon (Pantone Fluidity, 128 GB)",4.4,"₹20,999"
15,"MOTOROLA Edge 60 Pro (Pantone Shadow, 512 GB)",4.4,"₹37,999"
16,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",4.4,"₹27,999"
17,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",4.4,"₹24,999"
18,"MOTOROLA g67 power 5G (Pantone BLUE CURACAO, 256 GB)",4.3,"₹26,999"
19,"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)",4.4,"₹20,999"
20,"MOTOROLA g35 5G (Midnight Black, 128 GB)",4.2,"₹13,999"
21,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 128 GB)",4.4,"₹22,999"
22,"MOTOROLA Signature (PANTONE Carbon, 512 GB)",4.5,"₹62,499"
23,"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 512 GB)",4.4,"₹37,999"
